text,date
"today @sbagov announced officially that #paycheckprotectionprogram is out of funds. every senate republican was ready to act today, but democrats won’t let us do more now to help workers &amp; small businesses hurt by #covid19 shutdowns. https://t.co/uw54fxrhx7",2020-04-18 12:21:25-04:00
great #paycheckprotectionprogram success story in ne! i’m glad steve was able to use this program to get his employees at @eti_marketing back to work.   congress must work quickly to support this program so more businesses can access these loans. https://t.co/6w0pj3pnqo,2020-04-18 12:21:21-04:00
"i’m receiving text messages, phone calls &amp; emails from #smallbiz owners who wonder if more money will be put into the #paycheckprotectionprogram. republicans have been trying to do so for a week.  @speakerpelosi &amp; @senschumer are holding it hostage, trying to get other priorities https://t.co/rpaoh68jcu",2020-04-18 12:20:58-04:00
"congress could pass clean #coronavirus relief bills . . . if speaker pelosi would agree to it.   right now, though, democrats are sacrificing jobs by holding the #paycheckprotectionprogram hostage. https://t.co/lj5jqmhsvq",2020-04-18 12:08:34-04:00
"by blocking relief for main street, democrats are behaving as they always do in circumstances like this one: hijacking the process to get other items included. meanwhile, many #smallbiz are hanging on by a thread. every day of delay means lost jobs. https://t.co/68cc6br1qs",2020-04-18 12:08:11-04:00
"the #paycheckprotectionprogram has already issued 1m+ loans to small businesses, saving millions of jobs nationwide.   but yesterday the program ran out of money. and democrats have blocked a measure to replenish it.   let’s stop playing politics &amp; fund this vital lifeline now. https://t.co/oiydnyefg2",2020-04-18 12:07:26-04:00
"#ppp update: april 17  ↓↓↓  ❌no new loans approved  ❌no new jobs saved  the paycheck protection program is out of money.  and democrats are blocking a refill.  with every minute, another small business may have to close.  or lay off their workers.  america deserves better. https://t.co/cqkswsqyh0",2020-04-18 12:06:38-04:00
@senschumer .@senschumer and congressional democrats need to stop holding workers and small businesses hostage and stop blocking additional funding for the bipartisan #paycheckprotectionprogram now.,2020-04-18 12:06:15-04:00
"the #paycheckprotectionprogram is literally saving millions of jobs.  it's helping small businesses stay open.  funds will run out tomorrow.  yet, here's @speakerpelosi *congratulating* senate dems for blocking more funding.  america's workers and small businesses deserve better. https://t.co/uubau4jc2k",2020-04-18 12:05:27-04:00
"i want to thank president @realdonaldtrump for the opportunity to serve our nation on this task force, and i will be working with colleagues on both sides of the capitol to tackle the wide range of issues facing american families and workers right now.",2020-04-18 12:04:36-04:00
"as our nation faces an unprecedented crisis in responding to the #covid19 #coronavirus pandemic, it is critical that we put plans in place to both keep americans healthy and restart our economy.  https://t.co/unyjnwnwro",2020-04-18 12:04:27-04:00
"through yesterday, the ppp approved 22,933 loans for more than $3.8b in south carolina. $3.8b to ensure workers get their paycheck and businesses can stay open. also yesterday, democrats decided that's enough, we're fine with no more ppp funding. irresponsible and unacceptable.",2020-04-18 12:03:29-04:00
"spending the morning speaking to @fema and military relative to coronavirus. also, spoke to leaders of various countries including poland, south korea and bahrain. last night had a very gold conversation with the president of mexico on numerous topics. border is very strong!",2020-04-18 11:51:25-04:00
this is your daily reminder that joe biden flew his son to china on air force 2 to help him secure a $1.5 billion deal with the ccp  and hunter biden still sits on the board of a chinese private equity firm—despite promising to step down  why is the mainstream media silent?  rt!,2020-04-17 23:45:29-04:00
"one week ago today, democrats blocked a gop-led increase in funding for small businesses  today, that funding ran out.  democrats could have prevented this  nancy pelosi could have saved jobs and lives  instead she’s in san francisco not doing her job  she should be embarrassed.",2020-04-17 23:44:26-04:00
democrats care more about appeasing china than the american people.,2020-04-17 23:44:07-04:00
"did you know:  ilhan omar's campaign is on track to pay her husband's consulting firm $1.16 million in 2020  last year, while she was having an affair with her now-husband she paid his firm $523k  how is this legal?  she's funneling money back into her own pockets  investigate!",2020-04-17 23:43:53-04:00
"in january, the who tweeted that china found no evidence of human-to-human transmission of covid-19  this was a chinese communist party lie.  now nancy pelosi says it is illegal for trump to halt their funding?  why are democrats siding with the wuhan health organization?  🤔",2020-04-17 23:42:51-04:00
"facts:  california’s motor voter law resulted in at least 1,500 people, including non-citizens, being registered to vote  california’s secretary of state just admitted that multiple people voted multiple times last election  voter fraud is real  america needs voter id now!  rt!",2020-04-17 23:38:24-04:00
president @realdonaldtrump: economic relief payments have been sent out to over 80 million americans!  if you haven’t got your check please visit https://t.co/d5x6wpne74 https://t.co/oychlbgpdw,2020-04-17 23:35:22-04:00
"democrats are blocking more funding for #paycheckprotectionprogram that @realdonaldtrump signed into law.  1.7m #smallbiz received an average of $206k in aid to keep workers employed, but the money has run out.  democrats, help our workers and stop killing american jobs! https://t.co/uaehq66oen",2020-04-17 23:31:42-04:00
the partisan media has spread false information about america's testing capacity!  president @realdonaldtrump isn't afraid to call them out. https://t.co/62x88sqztk,2020-04-17 23:31:30-04:00
president @realdonaldtrump: “the ultimate victory in this war will be made possible by america’s scientific brilliance.” https://t.co/9btlnabixu,2020-04-17 23:31:17-04:00
"great news from @realdonaldtrump:  so far, the treasury department has sent 80 million americans economic relief payments.   if you haven’t received your check, visit https://t.co/zo2nhluer2 https://t.co/jvnigwhlqq",2020-04-17 23:31:08-04:00
ag sec sonny purdue: - ag relief program is in 2 parts 1) $16 bill in direct payments 2) usda will purchase $3 bill in food to give to food banks and faith groups to help distribute food to those in need. https://t.co/6wpdaqeq4m,2020-04-17 23:26:35-04:00
#happeningnow: white house daily  briefing 4/17/20  - treasury has sent relief checks to over 80 mill americans - https://t.co/yuzyvztzuf - out of 80 mill deposits less than 1% experienced minor problems - dept ag implementing $19 bill relief program for farmers/ranchers @oann https://t.co/byr3pns4gv,2020-04-17 23:26:25-04:00
thank you @realdonaldtrump for all you do for america's farmers and ranchers. https://t.co/b4ffssdmhp,2020-04-17 21:01:34-04:00
white house news conference today at 6:00 p.m. eastern. thank you!,2020-04-17 15:33:46-04:00
"cuomo ridiculously wanted “40 thousand ventilators”. we gave him a small fraction of that number, and it was plenty. state should have had them in stockpile!",2020-04-17 13:00:01-04:00
the states have to step up their testing!,2020-04-17 12:32:43-04:00
"china has just announced a doubling in the number of their deaths from the invisible enemy. it is far higher than that and far higher than the u.s., not even close!",2020-04-17 12:30:05-04:00
"biden/obama were a disaster in handling the h1n1 swine flu. polling at the time showed disastrous approval numbers. 17,000 people died unnecessarily and through incompetence! also, don’t forget their 5 billion dollar obamacare website that should have cost close to nothing!",2020-04-17 12:25:30-04:00
"....testing that you should be doing. we have given new york far more money, help and equipment than any other state, by far, &amp; these great men &amp; women who did the job never hear you say thanks. your numbers are not good. less talk and more action!",2020-04-17 12:11:45-04:00
"governor cuomo should spend more time “doing” and less time “complaining”. get out there and get the job done. stop talking! we built you thousands of hospital beds that you didn’t need or use, gave large numbers of ventilators that you should have had, and helped you with....",2020-04-17 12:11:45-04:00
"liberate virginia, and save your great 2nd amendment. it is under siege!",2020-04-17 11:25:45-04:00
liberate michigan!,2020-04-17 11:22:41-04:00
liberate minnesota!,2020-04-17 11:21:48-04:00
"today people started losing their jobs because of crazy nancy pelosi, cryin’ chuck schumer, and the radical left, do nothing democrats, who should immediately come back to washington and approve legislation to help families in america. end your endless vacation!",2020-04-17 09:50:31-04:00
"....in january and february, as the virus spread globally? why did the w.h.o. wait as long as it did to take decisive action? lanhee chen, hoover institution fellow @foxnews",2020-04-17 09:20:29-04:00
why did the w.h.o. ignore an email from taiwanese health officials in late december alerting them to the possibility that coronavirus could be transmitted between humans? why did the w.h.o. make several claims about the coronavirus that ere either inaccurate or misleading....,2020-04-17 09:20:29-04:00
"major news conference tonight, the white house at 6:00 p.m. (eastern), to explain guidelines for opening up america again!",2020-04-16 14:18:46-04:00
democrats are blocking additional funding for the popular paycheck protection program. they are killing american small businesses. stop playing politics dems! support refilling ppp now – it is out of funds!,2020-04-16 13:11:42-04:00
"crazy “nancy pelosi, you are a weak person. you are a poor leader. you are the reason america hates career politicians, like yourself.” @seanhannity she is totally incompetent &amp; controlled by the radical left, a weak and pathetic puppet. come back to washington and do your job!",2020-04-16 09:33:08-04:00
".@oann poll “gives president trump a 52% approval rating in north carolina, and a seven point lead over (sleepy) joe biden. the president also helps other republican candidates, including @senthomtillis, who has a 4% lead over his democrat rival.”",2020-04-16 09:12:40-04:00
"in 11 days, @gm sourced materials, transformed a manufacturing facility, and trained a workforce to build lifesaving ventilators in kokomo, indiana.  watch the clip: https://t.co/e7gy3yauhz",2020-04-15 18:51:22-04:00
"to date, more than 3.3 million coronavirus tests have been completed and 48 different tests have been authorized. https://t.co/oshlhhpgtk",2020-04-15 18:51:14-04:00
white house news conference today at 5:30 p.m. eastern. thank you!,2020-04-15 16:49:31-04:00
"we are having very productive calls with the leaders of every sector of the economy who are all-in on getting america back to work, and soon. more to come! #maga",2020-04-15 15:02:47-04:00
"hard at work in #nyc.  #usnavy sailors provide care for trauma, emergency, and urgent care patients without regard to their #covid19 status aboard #usnscomfort. comfort is working with javits new york medical station as an integrated system to relieve the city's medical system. https://t.co/rv9rztffgd",2020-04-15 11:39:13-04:00
rt to tell chuck schumer and nancy pelosi to stop blocking critical funding for small businesses. the paycheck protection program is about to run out of money—millions of jobs are hanging in the balance. congress must act!,2020-04-15 11:36:00-04:00
president @realdonaldtrump is halting funding of the world health organization while a review is conducted to assess who's role in mismanaging the coronavirus outbreak. https://t.co/jtref4wwj0,2020-04-14 19:25:18-04:00
white house news conference today at 5:45 p.m. eastern. thank you!,2020-04-14 17:21:24-04:00
"tell the democrat governors that “mutiny on the bounty” was one of my all time favorite movies. a good old fashioned mutiny every now and then is an exciting and invigorating thing to watch, especially when the mutineers need so much from the captain. too easy!",2020-04-14 10:57:19-04:00
"get rid of ballot harvesting, it is rampant with fraud. the usa must have voter i.d., the only way to get an honest count!",2020-04-14 10:24:51-04:00
"cuomo’s been calling daily, even hourly, begging for everything, most of which should have been the state’s responsibility, such as new hospitals, beds, ventilators, etc. i got it all done for him, and everyone else, and now he seems to want independence! that won’t happen!",2020-04-14 10:07:11-04:00
the democrats don’t want to approve more money for our great workers under the incredibly successful “paycheck” plan. replenish account now!,2020-04-14 09:40:12-04:00
media keep asking what the trump administration was doing in february to combat the coronavirus after restricting travel from china.  there's a helpful timeline for that! https://t.co/0fnwkeujbb https://t.co/mvprd2m8z4,2020-04-13 21:00:56-04:00
"over the weekend, the number of daily new infections remained flat.  thanks to the efforts of every american, our strategies are working. https://t.co/4hxoe09q49",2020-04-13 20:26:57-04:00
president @realdonaldtrump offered his condolences to americans across the south who just endured deadly tornadoes and severe weather. https://t.co/bnqppaj3fy,2020-04-13 20:26:40-04:00
"my deepest sympathies go out to frieda chera and the family of the late, great, stanley chera, one of manhattan’s most brilliant real estate minds. stanley was charitable, kind, and a wonderful friend. he will be truly missed!",2020-04-13 17:14:10-04:00
white house news conference today at 5:00 p.m. eastern. thank you!,2020-04-13 15:30:35-04:00
"....it is the decision of the president, and for many good reasons. with that being said, the administration and i are working closely with the governors, and this will continue. a decision by me, in conjunction with the governors and input from others, will be made shortly!",2020-04-13 10:53:52-04:00
"for the purpose of creating conflict and confusion, some in the fake news media are saying that it is the governors decision to open up the states, not that of the president of the united states &amp; the federal government. let it be fully understood that this is incorrect....",2020-04-13 10:53:50-04:00
"....disaster, the energy industry will be strong again, far faster than currently anticipated. thank you to all of those who worked with me on getting this very big business back on track, in particular russia and saudi arabia.",2020-04-13 09:31:20-04:00
"having been involved in the negotiations, to put it mildly, the number that opec+ is looking to cut is 20 million barrels a day, not the 10 million that is generally being reported. if anything near this happens, and the world gets back to business from the covid 19.....",2020-04-13 09:31:19-04:00
"the @nytimes story is a fake, just like the “paper” itself. i was criticized for moving too fast when i issued the china ban, long before most others wanted to do so. @secazar told me nothing until later, and peter navarro memo was same as ban (see his statements). fake news!",2020-04-12 22:08:16-04:00
"i am working hard to expose the corruption and dishonesty in the lamestream media. that part is easy, the hard part is why?",2020-04-12 21:16:50-04:00
us house hopeful mowers raised $354k in first quarter; campaign says it’s a primary record for a gop candidate in nh. we need to win nh for ⁦@realdonaldtrump⁩ and this seat is part of the path back to the majority in congress.  big numbers!  https://t.co/5dx5y5wgta,2020-04-12 20:55:15-04:00
"fox news poll: trump job approval hits new high as voters rally during crisis. eighty-nine percent of republicans approve of trump. in addition, approval sits at or near his best among women, democrats, whites, and white evangelical christians. https://t.co/2lnaz55rxz",2020-04-12 20:54:03-04:00
"@hillaryclinton said she would ""​put a lot of coal miners out of jobs"" now @joebiden says the same thing to the hardworking men and women in the oil/gas industry in pennsylvania? another reason @realdonaldtrump re-takes pa and #whitehouse   #trump2020 https://t.co/p3wetxqb9d",2020-04-12 20:53:40-04:00
new digital ad up in battleground states today highlighting @realdonaldtrump strong leadership combating the coronavirus  thank you mr. president https://t.co/mmc2pcgqaj,2020-04-12 20:52:50-04:00
"@lrihendry @nataliejharp @playstrumpcard @rohll5 @bfraser747 @ousa_jedio @polishprincessh @flightcrew @iamalloutofgum @themorningspew2 @carminesabia @carrieksada @ouchinagirl @crrja5 @gaetasusan @petluvers4trump here to support our great president, and to help spread his message alongside of all of you. going around the msm. https://t.co/vv5j0uent8",2020-04-12 20:47:09-04:00
if you’re an independent or moderate democrat...  ...never forget that while democrat party leaders are fighting hard for iran &amp; illegals to get money...  ...they are fighting just as hard to keep you from getting hydroxychloroquine.  november 3rd will be here soon.,2020-04-12 20:40:27-04:00
"ladies &amp; gentlemen,   i present to you: the democrat presidential candidate.   “we have never, never let our democracy sakes second fiddle.” #dnc   https://t.co/t6fsfpma3a",2020-04-12 20:36:31-04:00
"governors, get your states testing programs &amp; apparatus perfected. be ready, big things are happening. no excuses! the federal government is there to help. we are testing more than any country in the world. also, gear up with face masks!",2020-04-12 18:57:31-04:00
the big oil deal with opec plus is done. this will save hundreds of thousands of energy jobs in the united states. i would like to thank and congratulate president putin of russia and king salman of saudi arabia. i just spoke to them from the oval office. great deal for all!,2020-04-12 18:56:53-04:00
"if the fake news opposition party is pushing, with all their might, the fact that president trump “ignored early warnings about the threat,” then why did media &amp; dems viciously criticize me when i instituted a travel ban on china? they said “early &amp; not necessary.” corrupt media!",2020-04-12 18:56:32-04:00
"for the first time in history there is a fully signed presidential disaster declaration for all 50 states. we are winning, and will win, the war on the invisible enemy!",2020-04-12 18:56:15-04:00
"the president's easter message ""we hope all of you are filled with the joy, love, and hope that marks this holiest of days... the coronavirus will not stop easter. even in the darkest hours... let us take a little extra time to pray for the strength of our country and our people"" https://t.co/2lm9kszxrp",2020-04-12 18:24:00-04:00
read the explosive declassified footnotes from the horowitz report revealing that the fbi was warned that christopher steele’s dossier contained russian disinformation.  https://t.co/dilnxjnfih,2020-04-12 18:19:26-04:00
"fbi's 'central evidence' to spy on trump campaign was russian disinformation, declassified ig footnotes reveal -   ⁦@senronjohnson⁩ told me friday america deserves truth -how some fbi top echelon “were total and complete snakes in the grass” https://t.co/olbyocnfje",2020-04-12 18:18:59-04:00
"new: fbi received evidence of russian disinformation in steele dossier  a hill source adds: ""schiff was slinging russian disinformation."" https://t.co/egkwmns4qn",2020-04-12 18:18:26-04:00
"scott gottlieb says @who enabled china's obfuscation on coronavirus, and that it could have been containable had beijing not lied to the world.    https://t.co/m88qpie2yh",2020-04-12 18:17:41-04:00
"governors, get your states testing programs &amp; apparatus perfected. be ready, big things are happening. no excuses! the federal government is there to help. we are testing more than any country in the world. also, gear up with face masks!",2020-04-12 17:43:10-04:00
"the opposition party (lamestream media) and their partner, the radical left, do nothing democrats, have put their political game plan in full swing. “whether he is right or wrong, it doesn’t matter. criticize ’trump’ for everything, and don’t let the public see biden. hide him.”",2020-04-12 17:33:34-04:00
"if the fake news opposition party is pushing, with all their might, the fact that president trump “ignored early warnings about the threat,” then why did media &amp; dems viciously criticize me when i instituted a travel ban on china? they said “early &amp; not necessary.” corrupt media!",2020-04-12 16:43:12-04:00
"just watched mike wallace wannabe, chris wallace, on @foxnews. i am now convinced that he is even worse than sleepy eyes chuck todd of meet the press(please!), or the people over at deface the nation. what the hell is happening to @foxnews. it’s a whole new ballgame over there!",2020-04-12 15:49:37-04:00
the big oil deal with opec plus is done. this will save hundreds of thousands of energy jobs in the united states. i would like to thank and congratulate president putin of russia and king salman of saudi arabia. i just spoke to them from the oval office. great deal for all!,2020-04-12 15:40:03-04:00
"for the first time in history there is a fully signed presidential disaster declaration for all 50 states. we are winning, and will win, the war on the invisible enemy!",2020-04-12 15:25:35-04:00
"great businessman &amp; philanthropist bernie marcus, co-founder of home depot, said that congress was too distracted by the (phony) impeachment witch hunt when they should have been investigating  coronavirus when it first appeared in china. media played a big roll also!@dcexaminer",2020-04-12 12:14:52-04:00
happy easter!,2020-04-12 10:21:55-04:00
"a very good sign is that empty hospital beds are becoming more and more prevalent. we deployed 418 doctors, nurses and respiratory therapists from the hospital ship comfort and the javits convention center to hospitals in nyc &amp; state. have more bed capacity than was needed. good!",2020-04-12 10:21:03-04:00
let's be clear about what's going on:  republicans are trying to replenish the paycheck protection program before funds run out.  but dems are holding the program hostage to their unrelated left-wing agenda.  rt to tell dems to quit blocking relief for workers &amp; small businesses.,2020-04-11 20:43:58-04:00
"what a great story.   @americanair has turned the admirals club at @iflymia into a mask-making factory! during a time of crisis, it's truly humbling to watch us all come together to help any way we can.   https://t.co/fasv8plk2u",2020-04-11 20:42:48-04:00
"the #paycheckprotectionprogram is a lifeline for small businesses on main street across america.   congress must urgently pass additional funding for this bipartisan, job-saving program.   there’s no time to waste. small businesses need our help – and they need it now.",2020-04-11 20:42:09-04:00
"small business layoffs spiked 1,000% last month. 10% of the u.s. workforce is now jobless. this is no time for political games.  i hope democrats stop blocking more funding for the paycheck protection program very soon. american jobs depend on it. https://t.co/r1tgm8gc84",2020-04-11 20:41:22-04:00
the paycheck protection program has been so successful for america’s small businesses that it is projected to run out of money in a matter of days. millions more could lose their jobs and their livelihood.  democrats don’t care. https://t.co/6voxpry1pd,2020-04-11 20:41:09-04:00
speaker pelosi has said she is aware of 'no data as to why we need' more funding for americans’ paychecks. anyone paying attention knows differently.  republicans will continue to seek a clean vote on funding for the job-saving paycheck protection program. https://t.co/iu2ggnbtog,2020-04-11 20:38:15-04:00
"on the eve of #easter, let us remember the ones who lost their lives to covid19. please try to connect w/ family, friends &amp; loved ones this year. take care of yourselves, keep your spirits high. enjoy #easter knowing we are all in this together.",2020-04-11 20:37:32-04:00
mail in ballots substantially increases the risk of crime and voter fraud!,2020-04-11 20:29:00-04:00
"so now the fake news @nytimes is tracing the coronavirus origins back to europe, not china. this is a first! i wonder what the failing new york times got for this one? are there any named sources? they were recently thrown out of china like dogs, and obviously want back in. sad!",2020-04-11 19:34:58-04:00
"governor @gavinnewsom of california has been very nice &amp;  highly supportive about the great job we have done, working together, for california. that is the good news, but this is the bad. he is unfairly under attack by the radical left dems, msdnc etc. he is strong! will he fold?",2020-04-11 19:28:18-04:00
"during our 152-year history in downtown dallas presidents woodrow wilson, gerald ford, &amp; george h. w. bush have worshipped at @firstdallas. we are honored that tomorrow president @realdonaldtrump will be the first @potus to worship with us live online. welcome, president trump!",2020-04-11 18:37:14-04:00
"thank you, president @realdonaldtrump! we are honored to have you join us and are grateful for your strong leadership of our country. https://t.co/kivxbaefpl",2020-04-11 18:37:03-04:00
"the wall street journal editorial board doesn’t have a clue on how to fight and win. their views on tariffs &amp; trade are losers for the u.s., but winners for other countries, including china. if we followed their standards,  we’d have no country left. they should love sleepy joe!",2020-04-11 18:35:35-04:00
"watching @foxnews on weekend afternoons is a total waste of time. we now have some great alternatives, like @oann.",2020-04-11 17:53:36-04:00
"“the president and the federal government are doing an excellent job. when they say the death toll isn’t going to be as high as reported, they (the opposition) act like they’re sad because it’s lower. i think they are (press conferences) wonderful.” west virginia resident, c span",2020-04-11 17:48:58-04:00
we will build it again!,2020-04-11 14:53:59-04:00
....does anyone ever notice how few quotes from an actual person are given nowadays by the lamestream media. very seldom. the unnamed or anonymous sources are almost always fake news.,2020-04-11 14:47:39-04:00
"when the failing @nytimes or amazon @washingtonpost writes a story saying “unnamed sources said”, or any such phrase where a person’s  name is not used, don’t believe them. most of these unnamed sources don’t exist. they are made up to defame &amp; disparage. they have no “source”...",2020-04-11 14:43:03-04:00
"....economy was shuttered. this is unprecedented, it is unsettling and challenging but, we will rise to meet the occasion.” mack mclarty, clinton white house chief of staff. @lelandvittert @foxnews thank you mack. we will be bigger, better and stronger than ever before!",2020-04-11 14:33:04-04:00
"“i think the situation is unprecedented, and there is no question about that. it’s whiplash! the economy was moving forward at a rapid pace in terms of growth, jobs and even wage increases, and all of a sudden the pandemic hit and the....",2020-04-11 14:33:03-04:00
"“trump did a deal with japan. a lot of our product goes to japan, and we are booming in north dakota.” jim on c span, washington journal. our trade deals will be having a big impact on our country as they kick in!",2020-04-11 12:01:37-04:00
"in response to the virus, the american people have launched the greatest mobilization of our society since world war ii. 🇺🇸 https://t.co/azqqka8ddq",2020-04-10 16:55:29-04:00
"this sunday, millions of christians will celebrate easter.   ""at this holy time, we pray that god will heal the sick and comfort the heartbroken and bless our heroes."" https://t.co/xchcvit3ct",2020-04-10 16:55:21-04:00
"nobody wants to say that if elizabeth warren gets out of the race before super tuesday, crazy bernie sanders wins virtually every state in a blowout...not even close!  i haven’t heard one member of the fake news establishment even mention this irrefutable fact. fake news!",2020-04-10 11:42:10-04:00
"ag #barr says he believes #russia investigation into #prestrump was started without basis &amp; effectively amounted to an effort to “sabotage the presidency.”   horrible. yet, we had #msm &amp; politicians wanting to destroy the will of american voters. https://t.co/04znslamxo",2020-04-10 11:21:07-04:00
ag william barr says russia probe targeting @realdonaldtrump was started 'without basis'. where are the prosections? https://t.co/ztjt4fcsc3 via @nypost,2020-04-10 11:20:50-04:00
the invisible enemy will soon be in full retreat!,2020-04-10 11:15:25-04:00
"because the t.v. ratings for the white house news conference’s are the highest, the opposition party (lamestream media), the radical left, do nothing democrats &amp;, of course, the few remaining rino’s, are doing everything in their power to disparage &amp; end them. the people’s voice!",2020-04-10 10:36:41-04:00
"the white house press conference will take place today at 1:00 p.m., recognizing that it is good friday!",2020-04-10 10:35:20-04:00
happy good friday to all!,2020-04-10 10:32:33-04:00
"wow, approval rating in the republican party - 96%. thank you!",2020-04-10 10:14:28-04:00
.@max_fisher claims—without evidence—that i believe the china virus was “produced by a chinese weapons lab.” he should have done his homework. https://t.co/smzbe7ypdd,2020-04-10 08:39:24-04:00
